snapshot,SE-N hydro,SE-S hydro,NO-N hydro,NO-S hydro,FI hydro
2023-01-01 00:00:00,16065000.0,5775000.000000001,34649999.99999999,38499999.99999999,1040000.0
2023-01-01 03:00:00,16081693.699328119,5779918.252571078,34656639.12725867,38531422.84433131,1045028.989525037
2023-01-01 06:00:00,16095394.559557771,5784836.505142155,34659580.29935846,38562303.91107362,1050057.979050074
2023-01-01 09:00:00,16106756.65634383,5789754.757713232,34660117.57484971,38592316.98329168,1055086.968575111
2023-01-01 12:00:00,16114974.059751801,5794673.010284309,34659535.1994938,38621942.54976528,1060115.9581001478
2023-01-01 15:00:00,16119586.147158569,5799591.262855386,34657326.92230632,38649144.83780517,1065144.9476251847
2023-01-01 18:00:00,16117745.046260716,5790274.867652463,34658157.899752766,38664035.581191085,1070173.9371502216
2023-01-01 21:00:00,16126793.312285716,5795193.12022354,34658118.66853225,38692540.003576964,1075202.9266752584
2023-01-02 00:00:00,16123081.611866593,5800113.194452806,34653760.05314158,38690066.920498334,1080231.6417248896
2023-01-02 03:00:00,16119369.911447471,5789310.879908818,34647559.857883334,38695754.88531959,1083022.93098496
2023-01-02 06:00:00,16115658.211028349,5773230.954138084,34639152.775625885,38696686.264752254,1078801.5040467293
2023-01-02 09:00:00,16111946.510609226,5757151.028367351,34631473.821299985,38689702.769236095,1074230.2190963603
2023-01-02 12:00:00,16108234.810190104,5741071.102596617,34624463.19899535,38680992.36656045,1069658.9341459912
2023-01-02 15:00:00,16104523.109770982,5724991.176825884,34617121.46639949,38677816.79253942,1065087.6491956222
2023-01-02 18:00:00,16100811.40935186,5728170.589666651,34607971.71539386,38668139.65934693,1063928.0209363943
2023-01-02 21:00:00,16097099.708932737,5733090.663895917,34597692.47266735,38671348.2283481,1059356.7359860255
2023-01-03 00:00:00,16093392.542766599,5725942.5554428855,34589507.88559582,38687010.9722175,1060272.657048228
2023-01-03 03:00:00,16089685.376600461,5714985.263666692,34581260.77628632,38700024.949186444,1059404.6907093811
2023-01-03 06:00:00,16086088.506783701,5698907.111177116,34572557.467578106,38702594.33543601,1055627.6512712652
2023-01-03 09:00:00,16082381.340617564,5682828.958687539,34564731.85606099,38702838.11374304,1051055.9088385461
2023-01-03 12:00:00,16078674.174451426,5666750.806197963,34556671.515561864,38695416.28968251,1046484.1664058269
2023-01-03 15:00:00,16074967.008285288,5650672.653708386,34549933.40930724,38684173.284433424,1041912.4239731077
2023-01-03 18:00:00,16071259.84211915,5634594.50121881,34547059.683558576,38683854.82673558,1037340.6815403885
2023-01-03 21:00:00,16067552.675953012,5618516.348729233,34552047.48569812,38694123.24208959,1032768.9391076693
2023-01-04 00:00:00,16063848.96828767,5615416.0585266575,34562836.93273517,38724146.3511838,1037796.5563329261
2023-01-04 03:00:00,16060145.260622326,5620339.642114318,34575696.168106206,38744183.23788851,1042824.173558183
2023-01-04 06:00:00,16056441.552956983,5604263.225701978,34588754.27174001,38753550.43355069,1038251.7907834399
2023-01-04 09:00:00,16052737.84529164,5588186.809289639,34603520.77434729,38762574.559266,1033679.4080086967
2023-01-04 12:00:00,16049034.137626298,5572110.392877299,34617639.70345992,38768558.88664233,1032774.089617131
2023-01-04 15:00:00,16045330.429960955,5556778.506833019,34629967.38329811,38781142.369869076,1028201.7068423879
